rank,project,ENG,COM,VIS,INT,PRF,GCC,IND,EPC,composite,tier
1,army-hospital,9,9,9,8,10,9,8,10,9.1,Tier 1
2,erbil-eye-hospital-entrance-canopy,7,9,8,10,8,10,6,8,8.4,Tier 1
3,imam-khomeini-airport-hajj-terminal,9,8,8,8,9,8,7,9,8.3,Tier 1
4,marun-petrochemical-visitor-terminal,8,8,7,8,8,9,9,8,8.0,Tier 1
5,mehrabad-aircraft-hangar,9,8,8,7,8,7,9,8,7.9,Tier 1
6,tabas-railway-facility,9,7,7,6,8,7,9,8,7.7,Tier 2 (phase-2 flagship)
7,payam-industrial-city-ceramic-factory,8,7,6,6,7,7,10,8,7.5,Tier 2 (phase-2 flagship)
8,tehran-mall-roof-garden-foodcourt,8,8,8,6,7,6,6,7,7.3,Tier 2 (phase-2 flagship)
9,ahvaz-airport-passenger-terminal,8,7,7,6,7,7,6,7,7.0,Tier 2 (phase-2 flagship)
10,shahre-babak-hall,7,7,7,6,7,6,6,7,6.8,Tier 2 (phase-2 flagship)
11,shalamcheh-border-gate,7,7,6,7,6,7,5,7,6.6,Tier 2
12,megaparsmall-atrium,7,7,7,5,6,5,6,6,6.4,Tier 2
13,absaar-water-park,7,6,8,5,6,5,5,6,6.3,Tier 2
14,kermanshah-industrial-university-petroleum-faculty,7,6,7,5,6,6,6,6,6.2,Tier 2
15,atlas-hotel-shahinshahr-atrium,6,7,8,5,6,5,4,5,6.1,Tier 2
16,toranj-kish-restaurant,6,6,9,6,6,5,4,5,6.0,Tier 2
17,andimeshk-stadium,7,6,7,5,6,5,5,6,6.0,Tier 2
18,tavanir-shahrekord-central-atrium,6,6,6,5,6,5,6,6,5.8,Tier 2
19,bandar-abbas-mall-atrium-roof,6,6,7,5,6,5,4,5,5.7,Tier 2
20,najafabad-university-amphitheater,6,6,6,4,6,4,5,6,5.6,Tier 2
21,gonabad-university-sports-hall,6,6,6,4,5,4,5,6,5.5,Tier 2
22,maku-convention-hall,6,6,6,4,5,4,5,6,5.5,Tier 2
23,sepehan-flower-market,5,6,5,4,6,4,6,6,5.4,Tier 2
24,enghelab-club-padel-center,6,6,6,4,5,4,4,5,5.3,Tier 3
25,bandar-mahshahr-bus-terminal,5,5,5,4,5,5,4,6,5.1,Tier 3
26,tarbiat-modares-research-greenhouse,6,5,6,4,5,4,5,5,5.1,Tier 3
27,mahshahr-taxi-parking,5,5,5,4,5,5,4,5,5.0,Tier 3
28,fadak-mall-glass-skylight,5,5,6,4,5,4,4,5,4.9,Tier 3
29,rouzbeh-charity-complex-zanjan,5,5,5,4,5,4,4,5,4.8,Tier 3
30,eftekhar-commercial-office-complex,5,5,5,4,5,4,4,5,4.7,Tier 3
31,shahr-babak-stadium-entrance,5,5,5,4,5,4,3,4,4.6,Tier 3
32,baharestan-prayer-hall,5,4,5,4,5,4,3,4,4.4,Tier 3
33,shahrood-azad-university-skylight,4,4,5,4,4,3,3,4,4.1,Tier 3
34,parand-city-entrance,4,4,5,4,4,3,3,4,4.0,Tier 3
35,tiran-gas-station,4,4,4,4,4,4,3,4,3.9,Tier 3
