project,route,linked_from,inbound_links,user_reachable
"army-hospital","/fa/projects/army-hospital","Homepage Featured + Related (≈34 pages)","≈140","Yes"
"army-hospital","/en/projects/army-hospital","Homepage Featured + Related (≈34 pages)","≈140","Yes"
"army-hospital","/ar/projects/army-hospital","Homepage Featured + Related (≈34 pages)","≈140","Yes"
"army-hospital","/ru/projects/army-hospital","Homepage Featured + Related (≈34 pages)","≈140","Yes"
"shahre-babak-hall","/fa/projects/shahre-babak-hall","Related (≈34 pages)","≈136","Yes"
"shahre-babak-hall","/en/projects/shahre-babak-hall","Related (≈34 pages)","≈136","Yes"
"shahre-babak-hall","/ar/projects/shahre-babak-hall","Related (≈34 pages)","≈136","Yes"
"shahre-babak-hall","/ru/projects/shahre-babak-hall","Related (≈34 pages)","≈136","Yes"
"sepehan-flower-market","/fa/projects/sepehan-flower-market","Related (≈34 pages)","≈136","Yes"
"sepehan-flower-market","/en/projects/sepehan-flower-market","Related (≈34 pages)","≈136","Yes"
"sepehan-flower-market","/ar/projects/sepehan-flower-market","Related (≈34 pages)","≈136","Yes"
"sepehan-flower-market","/ru/projects/sepehan-flower-market","Related (≈34 pages)","≈136","Yes"
"shahr-babak-stadium-entrance","/fa/projects/shahr-babak-stadium-entrance","Related (3 pages only)","≈12","Yes"
"shahr-babak-stadium-entrance","/en/projects/shahr-babak-stadium-entrance","Related (3 pages only)","≈12","Yes"
"shahr-babak-stadium-entrance","/ar/projects/shahr-babak-stadium-entrance","Related (3 pages only)","≈12","Yes"
"shahr-babak-stadium-entrance","/ru/projects/shahr-babak-stadium-entrance","Related (3 pages only)","≈12","Yes"
"andimeshk-stadium","/fa/projects/andimeshk-stadium","— (none rendered)","0","No (orphan)"
"andimeshk-stadium","/en/projects/andimeshk-stadium","— (none rendered)","0","No (orphan)"
"andimeshk-stadium","/ar/projects/andimeshk-stadium","— (none rendered)","0","No (orphan)"
"andimeshk-stadium","/ru/projects/andimeshk-stadium","— (none rendered)","0","No (orphan)"
"absaar-water-park","/fa/projects/absaar-water-park","— (none rendered)","0","No (orphan)"
"absaar-water-park","/en/projects/absaar-water-park","— (none rendered)","0","No (orphan)"
"absaar-water-park","/ar/projects/absaar-water-park","— (none rendered)","0","No (orphan)"
"absaar-water-park","/ru/projects/absaar-water-park","— (none rendered)","0","No (orphan)"
"megaparsmall-atrium","/fa/projects/megaparsmall-atrium","— (none rendered)","0","No (orphan)"
"megaparsmall-atrium","/en/projects/megaparsmall-atrium","— (none rendered)","0","No (orphan)"
"megaparsmall-atrium","/ar/projects/megaparsmall-atrium","— (none rendered)","0","No (orphan)"
"megaparsmall-atrium","/ru/projects/megaparsmall-atrium","— (none rendered)","0","No (orphan)"
"mahshahr-taxi-parking","/fa/projects/mahshahr-taxi-parking","— (none rendered)","0","No (orphan)"
"mahshahr-taxi-parking","/en/projects/mahshahr-taxi-parking","— (none rendered)","0","No (orphan)"
"mahshahr-taxi-parking","/ar/projects/mahshahr-taxi-parking","— (none rendered)","0","No (orphan)"
"mahshahr-taxi-parking","/ru/projects/mahshahr-taxi-parking","— (none rendered)","0","No (orphan)"
"parand-city-entrance","/fa/projects/parand-city-entrance","— (none rendered)","0","No (orphan)"
"parand-city-entrance","/en/projects/parand-city-entrance","— (none rendered)","0","No (orphan)"
"parand-city-entrance","/ar/projects/parand-city-entrance","— (none rendered)","0","No (orphan)"
"parand-city-entrance","/ru/projects/parand-city-entrance","— (none rendered)","0","No (orphan)"
"tabas-railway-facility","/fa/projects/tabas-railway-facility","— (none rendered)","0","No (orphan)"
"tabas-railway-facility","/en/projects/tabas-railway-facility","— (none rendered)","0","No (orphan)"
"tabas-railway-facility","/ar/projects/tabas-railway-facility","— (none rendered)","0","No (orphan)"
"tabas-railway-facility","/ru/projects/tabas-railway-facility","— (none rendered)","0","No (orphan)"
"tiran-gas-station","/fa/projects/tiran-gas-station","— (none rendered)","0","No (orphan)"
"tiran-gas-station","/en/projects/tiran-gas-station","— (none rendered)","0","No (orphan)"
"tiran-gas-station","/ar/projects/tiran-gas-station","— (none rendered)","0","No (orphan)"
"tiran-gas-station","/ru/projects/tiran-gas-station","— (none rendered)","0","No (orphan)"
"ahvaz-airport-passenger-terminal","/fa/projects/ahvaz-airport-passenger-terminal","— (none rendered)","0","No (orphan)"
"ahvaz-airport-passenger-terminal","/en/projects/ahvaz-airport-passenger-terminal","— (none rendered)","0","No (orphan)"
"ahvaz-airport-passenger-terminal","/ar/projects/ahvaz-airport-passenger-terminal","— (none rendered)","0","No (orphan)"
"ahvaz-airport-passenger-terminal","/ru/projects/ahvaz-airport-passenger-terminal","— (none rendered)","0","No (orphan)"
"atlas-hotel-shahinshahr-atrium","/fa/projects/atlas-hotel-shahinshahr-atrium","— (none rendered)","0","No (orphan)"
"atlas-hotel-shahinshahr-atrium","/en/projects/atlas-hotel-shahinshahr-atrium","— (none rendered)","0","No (orphan)"
"atlas-hotel-shahinshahr-atrium","/ar/projects/atlas-hotel-shahinshahr-atrium","— (none rendered)","0","No (orphan)"
"atlas-hotel-shahinshahr-atrium","/ru/projects/atlas-hotel-shahinshahr-atrium","— (none rendered)","0","No (orphan)"
"baharestan-prayer-hall","/fa/projects/baharestan-prayer-hall","— (none rendered)","0","No (orphan)"
"baharestan-prayer-hall","/en/projects/baharestan-prayer-hall","— (none rendered)","0","No (orphan)"
"baharestan-prayer-hall","/ar/projects/baharestan-prayer-hall","— (none rendered)","0","No (orphan)"
"baharestan-prayer-hall","/ru/projects/baharestan-prayer-hall","— (none rendered)","0","No (orphan)"
"bandar-abbas-mall-atrium-roof","/fa/projects/bandar-abbas-mall-atrium-roof","— (none rendered)","0","No (orphan)"
"bandar-abbas-mall-atrium-roof","/en/projects/bandar-abbas-mall-atrium-roof","— (none rendered)","0","No (orphan)"
"bandar-abbas-mall-atrium-roof","/ar/projects/bandar-abbas-mall-atrium-roof","— (none rendered)","0","No (orphan)"
"bandar-abbas-mall-atrium-roof","/ru/projects/bandar-abbas-mall-atrium-roof","— (none rendered)","0","No (orphan)"
"bandar-mahshahr-bus-terminal","/fa/projects/bandar-mahshahr-bus-terminal","— (none rendered)","0","No (orphan)"
"bandar-mahshahr-bus-terminal","/en/projects/bandar-mahshahr-bus-terminal","— (none rendered)","0","No (orphan)"
"bandar-mahshahr-bus-terminal","/ar/projects/bandar-mahshahr-bus-terminal","— (none rendered)","0","No (orphan)"
"bandar-mahshahr-bus-terminal","/ru/projects/bandar-mahshahr-bus-terminal","— (none rendered)","0","No (orphan)"
"eftekhar-commercial-office-complex","/fa/projects/eftekhar-commercial-office-complex","— (none rendered)","0","No (orphan)"
"eftekhar-commercial-office-complex","/en/projects/eftekhar-commercial-office-complex","— (none rendered)","0","No (orphan)"
"eftekhar-commercial-office-complex","/ar/projects/eftekhar-commercial-office-complex","— (none rendered)","0","No (orphan)"
"eftekhar-commercial-office-complex","/ru/projects/eftekhar-commercial-office-complex","— (none rendered)","0","No (orphan)"
"enghelab-club-padel-center","/fa/projects/enghelab-club-padel-center","— (none rendered)","0","No (orphan)"
"enghelab-club-padel-center","/en/projects/enghelab-club-padel-center","— (none rendered)","0","No (orphan)"
"enghelab-club-padel-center","/ar/projects/enghelab-club-padel-center","— (none rendered)","0","No (orphan)"
"enghelab-club-padel-center","/ru/projects/enghelab-club-padel-center","— (none rendered)","0","No (orphan)"
"erbil-eye-hospital-entrance-canopy","/fa/projects/erbil-eye-hospital-entrance-canopy","— (none rendered)","0","No (orphan)"
"erbil-eye-hospital-entrance-canopy","/en/projects/erbil-eye-hospital-entrance-canopy","— (none rendered)","0","No (orphan)"
"erbil-eye-hospital-entrance-canopy","/ar/projects/erbil-eye-hospital-entrance-canopy","— (none rendered)","0","No (orphan)"
"erbil-eye-hospital-entrance-canopy","/ru/projects/erbil-eye-hospital-entrance-canopy","— (none rendered)","0","No (orphan)"
"fadak-mall-glass-skylight","/fa/projects/fadak-mall-glass-skylight","— (none rendered)","0","No (orphan)"
"fadak-mall-glass-skylight","/en/projects/fadak-mall-glass-skylight","— (none rendered)","0","No (orphan)"
"fadak-mall-glass-skylight","/ar/projects/fadak-mall-glass-skylight","— (none rendered)","0","No (orphan)"
"fadak-mall-glass-skylight","/ru/projects/fadak-mall-glass-skylight","— (none rendered)","0","No (orphan)"
"gonabad-university-sports-hall","/fa/projects/gonabad-university-sports-hall","— (none rendered)","0","No (orphan)"
"gonabad-university-sports-hall","/en/projects/gonabad-university-sports-hall","— (none rendered)","0","No (orphan)"
"gonabad-university-sports-hall","/ar/projects/gonabad-university-sports-hall","— (none rendered)","0","No (orphan)"
"gonabad-university-sports-hall","/ru/projects/gonabad-university-sports-hall","— (none rendered)","0","No (orphan)"
